motivos,crec,cred,equ,inic,inv,mkt,no,renta,sueldo,temp
Crear un departamento de ventas e inversión a publicidad,0,0,0,0,0,1,0,0,0,0
establecerme en un local y agregar materia prima en stock.,0,0,0,0,1,0,0,1,0,0
Compra de equipo e incrementar inventario,0,0,1,0,1,0,0,0,0,0
Invertir en crecimiento de flotilla de unidades de carga para seguir cumpliendo con los requerimientos de nuestros clientes  a quien damos nuestros servicios de Transporte de carga y continuar en crecimiento del negocio.,0,0,1,0,0,0,0,0,0,0
Para comprar mercancía y comprar lonas nuevas,0,0,0,0,1,0,0,0,0,0
Compra de mercancía para mí tienda en línea,0,0,0,0,1,0,0,0,0,0
Inversión en mercancía para temporada de alta demanda,0,0,0,0,0,0,0,0,0,1
Ampliaciin de negocio para rentar mas.habitaciones,1,0,0,0,0,0,0,0,0,0
Compra de inmobiliario de oficina y publicidad,0,0,0,0,0,1,0,1,0,0
Mi crédito lo quiero para adaptar un local en mi propiedad para la venta formal de comida,0,0,0,1,0,0,0,0,0,0
INVENTARIO PARA VENDER MUEBLES DE OFICINA,0,0,0,0,1,0,0,0,0,0
"pago a proveedores por contrato con vencimiento en agosto y septiembre d este año, mejora de instalaciones y tecnología en general, sistemas de gestión administrativa y contable",1,1,0,0,0,0,0,0,0,0
"En tan solo 4 meses ya estamos por facturar 40,000 pesos mensuales y seguimos con citas con Compañías de Consumo Masivo, por lo que necesitamos elaborar el registro de dos marcas, la realización de una página web, inversión en equipos de computo (2 laptops) y continuaremos con operación desde casa.",1,0,1,0,0,0,0,0,0,0
Pago pasivos nueva acta constitutiva software y equipo de cómputo,0,0,1,0,0,0,0,0,0,0
Adquirir equipo topográfico y básico de construcción,0,0,1,0,0,0,0,0,0,0
"Capital de trabajo, pagos a proveedores ",0,1,0,0,0,0,0,0,0,0
Deseo adquirir mercancías para exhibir (Electrónica y Consumo),0,0,0,0,1,0,0,0,0,0
"Para capital de trabajo, incrementar la solvencia y cumplir con lo contratos en vigor",0,1,0,0,0,0,0,0,0,0
Mi negocio se encuentra en el sector educativo. Queremos abrir otra sede de manera formal en la CDMX,1,0,0,0,0,0,0,0,0,0
Surtir mercancia e intentar poner un negocio establecido en un local,0,0,0,1,0,0,0,0,0,0
Usarlos para compra de inventario  y reinversion,1,0,0,0,1,0,0,0,0,0
Compra de equipo especializado y herramientas de trabajo,0,0,1,0,0,0,0,0,0,0
Inversión en local y mercancía ampliación en local,0,0,1,0,0,0,0,1,0,0
lo requiwro para invertir en publicidad y pmestabkecer un local ya qie lo tengo en casa.. asi mismo co prare mercancia,0,0,0,0,1,1,0,0,0,0
